199
30 35
1 6 3
1 7 3
2 4 3
3 3 3
3 5 3
3 7 3
4 4 3
4 5 3
4 6 3
4 8 3
4 31 1
4 32 1
5 3 3
5 5 3
5 7 3
5 26 1
5 27 1
5 28 1
5 29 1
5 30 1
6 4 3
6 5 3
6 8 3
6 9 3
6 10 3
6 25 1
6 26 1
6 28 1
6 29 1
7 2 3
7 4 3
7 5 3
7 6 3
7 8 3
7 22 1
7 23 1
7 24 1
7 26 1
7 29 1
7 30 1
8 2 3
8 3 3
8 4 3
8 5 3
8 7 3
8 22 1
8 24 1
8 25 1
8 27 1
8 28 1
8 29 1
8 31 1
8 32 1
9 3 3
9 6 3
9 7 3
9 8 3
9 9 3
9 20 1
9 23 1
9 24 1
9 26 1
9 29 1
9 32 1
9 33 1
10 2 3
10 3 3
10 5 3
10 7 3
10 8 3
10 10 3
10 22 1
10 25 1
10 27 1
10 28 1
10 30 1
10 31 1
10 33 1
10 34 1
11 4 3
11 5 3
11 7 3
11 9 3
11 22 1
11 23 1
11 25 1
11 26 1
11 27 1
11 30 1
11 31 1
12 3 3
12 4 3
12 6 3
12 7 3
12 10 3
12 11 3
12 25 1
12 27 1
12 29 1
12 31 1
13 5 3
13 6 3
13 8 3
13 9 3
13 24 1
13 26 1
13 28 1
13 30 1
13 32 1
13 33 1
14 7 3
14 25 1
14 26 1
14 30 1
14 32 1
14 33 1
15 26 1
15 28 1
15 29 1
15 31 1
15 32 1
16 24 1
16 27 1
16 29 1
16 30 1
16 32 1
16 33 1
22 4 4
22 5 4
22 7 4
22 10 4
23 8 4
23 9 4
23 26 2
23 27 2
23 28 2
24 3 4
24 4 4
24 6 4
24 7 4
24 8 4
24 27 2
24 28 2
24 29 2
24 31 2
24 32 2
24 33 2
25 5 4
25 6 4
25 9 4
25 10 4
25 26 2
25 27 2
25 28 2
25 30 2
25 31 2
25 32 2
26 4 4
26 7 4
26 8 4
26 27 2
26 28 2
26 29 2
26 30 2
27 3 4
27 5 4
27 6 4
27 7 4
27 8 4
27 24 2
27 25 2
27 28 2
27 29 2
28 4 4
28 6 4
28 7 4
28 9 4
28 10 4
28 11 4
28 12 4
28 14 4
28 23 2
28 24 2
28 25 2
28 26 2
28 29 2
28 30 2
29 2 4
29 3 4
29 5 4
29 6 4
29 7 4
29 8 4
29 24 2
29 25 2
29 28 2
29 29 2
29 31 2
29 32 2
